RunTimestamp,Timestamp,EPC,Antenna,RSSI,PhaseAngle,Frequency,ReadCount,DopplerFrequency
2025-03-20T09:52:54.852582,1742503323690308,333030383333623264646439303134303030303030303030,Unknown,-45.00,8.64,35,125,3.90
2025-03-20T09:52:54.852582,1742503333704425,333030383333623264646439303134303030303030303030,Unknown,-44.50,11.16,50,415,1.56
2025-03-20T16:16:55.480641,1742509131256619,333030383333623264646439303134303030303030303030,Unknown,-44.50,33.96,21,32,2.73
2025-03-20T16:23:27.755982,1742509514265229,333030383333623264646439303134303030303030303030,Unknown,-44.00,37.28,43,407,2.73
2025-03-20T16:34:17.620051,1742510158800061,333033343035623532383065616164363165373331653965,Unknown,-65.50,37.80,32,18,24.31
2025-03-20T16:34:17.620051,1742510158847570,333033343035356431343034343263303030303266363666,Unknown,-53.50,34.08,25,78,-1.95
2025-03-20T16:34:17.620051,1742510158817003,333033343062663435343231663238626134336237373264,Unknown,-60.00,32.16,24,106,7.03
2025-03-20T16:34:17.620051,1742510158847022,333032663438326337343630626539623032323636633930,Unknown,-59.00,10.40,24,138,4.68
2025-03-20T16:34:17.620051,1742510158851414,333032383332616138663733303938303030303166343966,Unknown,-65.50,16.88,24,135,-8.39
2025-03-20T16:34:17.620051,1742510158473055,316132656330396439613839613431643435623036326162,Unknown,-68.00,1.80,24,41,-0.23
2025-03-20T16:34:17.620051,1742510158809540,316139656330396439613839613033343063626537303963,Unknown,-61.00,34.80,24,126,16.63
2025-03-20T16:34:17.620051,1742510158843482,333033343032313265343363373839623032323361646464,Unknown,-56.00,25.24,24,141,15.82
2025-03-20T16:36:49.672905,1742510305930590,333030383333623264646439303134303030303030303030,Unknown,-44.50,18.40,29,72,3.51
2025-03-20T16:36:49.672905,1742510315114201,333033343035623532383065616164363165373331653965,Unknown,-66.50,16.08,43,23,0.07
2025-03-20T16:36:49.672905,1742510315919196,333032613066656366383966303837353864313538643535,Unknown,-56.00,36.96,43,134,1.17
2025-03-20T16:36:49.672905,1742510306981652,333033343030656461343366363238303030303039663366,Unknown,-71.00,37.64,42,2,0.06
2025-03-20T16:36:49.672905,1742510315918663,333032383332616138663733303938303030303166343966,Unknown,-65.50,29.80,39,166,0.78
2025-03-20T16:36:49.672905,1742510315916615,333032663438326432336630303535623032323361393739,Unknown,-59.50,12.56,39,117,0.39
2025-03-20T16:36:49.672905,1742510315738561,333033343035356431343034343263303030303266363666,Unknown,-55.00,31.16,39,84,-1.95
2025-03-20T16:36:49.672905,1742510315916080,316132306233396331363839613732393437306137373135,Unknown,-64.00,27.08,38,137,-10.54
2025-03-20T16:36:49.672905,1742510315928005,316132656330396439613839613431643435623036326162,Unknown,-68.00,33.06,38,126,28.15
2025-03-20T16:36:49.672905,1742510315917282,333032663438326235313930326135366431343233376566,Unknown,-63.00,7.08,38,130,-6.83
2025-03-20T16:36:49.672905,1742510315914603,316136386662616363633738303038346336353437316438,Unknown,-58.00,40.80,38,170,0.00
2025-03-20T16:36:49.672905,1742510315696644,333033343032313265343363373839623032323361646464,Unknown,-56.00,40.42,38,139,-1.91
2025-03-20T16:36:49.672905,1742510315911611,333033343332396435303538353531616636333765313038,Unknown,-60.00,3.04,38,166,2.34
2025-03-20T16:36:49.672905,1742510315921593,333033343030656461343366613235366431343331383435,Unknown,-64.00,27.80,38,86,4.29
2025-03-20T16:36:49.672905,1742510315915159,333033323131343638653033653239623032323530346331,Unknown,-55.50,9.44,38,170,3.90
2025-03-20T16:36:49.672905,1742510315922129,333032663438326235313930333331366431343234623263,Unknown,-61.50,32.36,38,157,-6.05
2025-03-20T16:36:49.672905,1742510315920890,333033343032623666303063616364366431343637646663,Unknown,-57.00,9.84,38,170,11.71
2025-03-20T16:36:49.672905,1742510315914061,333033343034373133383130353834316463643635353932,Unknown,-54.00,30.92,38,159,-20.70
2025-03-20T16:36:49.672905,1742510315909961,333033343062663435343231663238626134336237373264,Unknown,-60.00,0.68,38,150,-8.39
2025-03-20T16:36:49.672905,1742510315909432,333033353261623433383162623531616534353633646661,Unknown,-52.00,29.88,38,170,-2.34
2025-03-20T16:36:49.672905,1742510315920346,333033343030656461343366363738303030303062666133,Unknown,-54.50,37.88,38,170,-0.78
2025-03-20T16:36:49.672905,1742510315868633,316139656330396439613839613033343063626537303963,Unknown,-59.50,33.44,38,150,-6.64
2025-03-20T16:36:49.672905,1742510315918116,333032663438326337343630626539623032323636633930,Unknown,-59.50,31.16,38,170,-5.66
2025-03-20T16:36:49.672905,1742510315912963,333033343034373666343561353631363165373863343963,Unknown,-59.00,1.04,38,170,0.00
2025-03-20T16:36:49.672905,1742510315913505,333033303430343230613838323464363165376632346432,Unknown,-59.50,12.68,37,170,4.29
2025-03-20T16:36:49.672905,1742510315911025,333030383333623264646439303134303030303030303030,Unknown,-37.00,40.08,37,244,0.00
2025-03-20T16:36:49.672905,1742510315912421,333033343034373133383130353834316463643635353864,Unknown,-55.00,19.92,37,170,5.07
2025-03-20T16:44:47.045058,1742510786983945,333033343035623532383065616164363165373331653965,Unknown,-71.00,3.68,3,25.59
2025-03-20T16:44:47.045058,1742510786983945,333033343035623532383065616164363165373331653965,Unknown,-71.00,3.68,3,25.59
2025-03-20T16:44:47.045058,1742510786983945,333033343035623532383065616164363165373331653965,Unknown,-71.00,3.68,3,25.59
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788224291,333033343030656461343366613235366431343331383435,Unknown,-64.00,23.80,2,-16.40
2025-03-20T16:44:47.045058,1742510788333313,333032663438326235313930333331366431343234623263,Unknown,-63.00,16.24,1,-4.29
2025-03-20T16:44:47.045058,1742510788333313,333032663438326235313930333331366431343234623263,Unknown,-63.00,16.24,1,-4.29
2025-03-20T16:44:47.045058,1742510788333313,333032663438326235313930333331366431343234623263,Unknown,-63.00,16.24,1,-4.29
2025-03-20T16:44:47.045058,1742510788333313,333032663438326235313930333331366431343234623263,Unknown,-63.00,16.24,1,-4.29
2025-03-20T16:44:47.045058,1742510788333313,333032663438326235313930333331366431343234623263,Unknown,-63.00,16.24,1,-4.29
2025-03-20T16:44:47.045058,1742510788333313,333032663438326235313930333331366431343234623263,Unknown,-63.00,16.24,1,-4.29
2025-03-20T16:44:47.045058,1742510788333313,333032663438326235313930333331366431343234623263,Unknown,-63.00,16.24,1,-4.29
2025-03-20T16:44:47.045058,1742510788333313,333032663438326235313930333331366431343234623263,Unknown,-63.00,16.24,1,-4.29
2025-03-20T16:44:47.045058,1742510788333313,333032663438326235313930333331366431343234623263,Unknown,-63.00,16.24,1,-4.29
2025-03-20T16:44:47.045058,1742510788333313,333032663438326235313930333331366431343234623263,Unknown,-63.00,16.24,1,-4.29
